央视,#genre#
CCTV-1,http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221227641/index.m3u8
CCTV-2,http://223.110.246.83/ott.js.chinamobile.com/PLTV/4/224/3221227427/index.m3u8
CCTV-3,http://223.110.246.68/ott.js.chinamobile.com/PLTV/4/224/3221227424/index.m3u8
CCTV-4,http://223.110.246.81/ott.js.chinamobile.com/PLTV/4/224/3221227683/index.m3u8
CCTV-5,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227686/index.m3u8
CCTV5+,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221227685/index.m3u8
CCTV-6,http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227430/index.m3u8
CCTV-7,http://223.110.246.71/ott.js.chinamobile.com/PLTV/4/224/3221227314/index.m3u8
CCTV-8,http://223.110.246.80/ott.js.chinamobile.com/PLTV/4/224/3221227750/index.m3u8
CCTV-9,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221227704/index.m3u8
CCTV-10,http://223.110.246.74/ott.js.chinamobile.com/PLTV/4/224/3221227620/index.m3u8
CCTV-11,http://223.110.246.76/ott.js.chinamobile.com/PLTV/4/224/3221227524/index.m3u8
CCTV-12,http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221227637/index.m3u8
CCTV-13,http://223.110.246.71/ott.js.chinamobile.com/PLTV/4/224/3221227387/index.m3u8
CCTV-14,http://223.110.246.81/ott.js.chinamobile.com/PLTV/4/224/3221227693/index.m3u8
CCTV-15,http://223.110.246.75/ott.js.chinamobile.com/PLTV/4/224/3221227538/index.m3u8
CCTV-17,http://223.110.246.74/ott.js.chinamobile.com/PLTV/4/224/3221227578/index.m3u8
卫视,#genre#
江苏卫视,http://223.110.246.82/ott.js.chinamobile.com/PLTV/4/224/3221227689/index.m3u8
北京卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221227694/index.m3u8
江西卫视,http://223.110.245.151/ott.js.chinamobile.com/PLTV/4/224/3221227738/index.m3u8
湖南卫视,http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221227698/index.m3u8
浙江卫视,http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221227692/index.m3u8
东方卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227688/index.m3u8
安徽卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227759/index.m3u8
山东卫视,http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221227697/index.m3u8
深圳卫视,http://223.110.246.71/ott.js.chinamobile.com/PLTV/4/224/3221227695/index.m3u8
天津卫视,http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227756/index.m3u8
广东卫视,http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221227691/index.m3u8
黑龙江卫视,http://223.110.248.16/ott.js.chinamobile.com/PLTV/4/224/3221227753/index.m3u8
