央视,#genre#
CCTV-1,http://ott.js.chinamobile.com/PLTV/4/224/3221227641/index.m3u8
CCTV-2,http://ott.js.chinamobile.com/PLTV/4/224/3221227427/index.m3u8
CCTV-3,http://ott.js.chinamobile.com/PLTV/4/224/3221227424/index.m3u8
CCTV-4,http://ott.js.chinamobile.com/PLTV/4/224/3221227683/index.m3u8
CCTV-5,http://ott.js.chinamobile.com/PLTV/4/224/3221227686/index.m3u8
CCTV5+,http://ott.js.chinamobile.com/PLTV/4/224/3221227685/index.m3u8
CCTV-6,http://ott.js.chinamobile.com/PLTV/4/224/3221227430/index.m3u8
CCTV-7,http://ott.js.chinamobile.com/PLTV/4/224/3221227314/index.m3u8
CCTV-8,http://ott.js.chinamobile.com/PLTV/4/224/3221227750/index.m3u8
CCTV-9,http://ott.js.chinamobile.com/PLTV/4/224/3221227704/index.m3u8
CCTV-10,http://ott.js.chinamobile.com/PLTV/4/224/3221227620/index.m3u8
CCTV-11,http://ott.js.chinamobile.com/PLTV/4/224/3221227524/index.m3u8
CCTV-12,http://ott.js.chinamobile.com/PLTV/4/224/3221227637/index.m3u8
CCTV-13,http://ott.js.chinamobile.com/PLTV/4/224/3221227387/index.m3u8
CCTV-14,http://ott.js.chinamobile.com/PLTV/4/224/3221227693/index.m3u8
CCTV-15,http://ott.js.chinamobile.com/PLTV/4/224/3221227538/index.m3u8
CCTV-17,http://ott.js.chinamobile.com/PLTV/4/224/3221227578/index.m3u8
卫视,#genre#
江苏卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227689/index.m3u8
北京卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227694/index.m3u8
江西卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227738/index.m3u8
湖南卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227698/index.m3u8
浙江卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227692/index.m3u8
东方卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227688/index.m3u8
安徽卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227759/index.m3u8
山东卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227697/index.m3u8
深圳卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227695/index.m3u8
天津卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227756/index.m3u8
广东卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227691/index.m3u8
黑龙江卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227753/index.m3u8
辽宁卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227700/index.m3u8
东南卫视,http://ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8
重庆卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227632/index.m3u8
湖北卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227703/index.m3u8
甘肃卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225846/index.m3u8
广西卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225806/index.m3u8
贵州卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225787/index.m3u8
海南卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225810/index.m3u8
河北卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225840/index.m3u8
河南卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225815/index.m3u8
吉林卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225883/index.m3u8
内蒙古卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225836/index.m3u8
宁夏卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225842/index.m3u8
山西卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225786/index.m3u8
陕西卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227022/index.m3u8
四川卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225814/index.m3u8
西藏卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221226376/index.m3u8
新疆卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225844/index.m3u8
青海卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225783/index.m3u8
厦门卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221226996/index.m3u8
云南卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221225838/index.m3u8
兵团卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227025/index.m3u8
南方卫视,http://ott.js.chinamobile.com/PLTV/4/224/3221227005/index.m3u8
本地,#genre#
凤凰中文,http://ott.js.chinamobile.com/PLTV/4/224/3221228057/index.m3u8
凤凰资讯,http://ott.js.chinamobile.com/PLTV/4/224/3221228098/index.m3u8
凤凰香港,http://ott.js.chinamobile.com/PLTV/4/224/3221228060/index.m3u8
江苏城市,http://ott.js.chinamobile.com/PLTV/4/224/3221225929/index.m3u8
江苏公共新闻,http://ott.js.chinamobile.com/PLTV/4/224/3221225925/index.m3u8
江苏综艺,http://ott.js.chinamobile.com/PLTV/4/224/3221225931/index.m3u8
常州新闻,http://ott.js.chinamobile.com/PLTV/4/224/3221227899/index.m3u8
